IdExaBot,IdIABot,IdArmaIzquierda,IdArmaDerecha,Nombre,Serie
1,1,1,1,Exobot-001,Serie E001
2,1,2,2,Exobot-002,Serie E002
3,1,1,1,Exobot-003,Serie E003
4,1,2,2,Exobot-004,Serie E004
5,1,1,1,Exobot-005,Serie E005
6,1,2,2,Exobot-006,Serie E006
7,1,1,1,Exobot-007,Serie E007
8,1,2,2,Exobot-008,Serie E008
9,1,1,1,Exobot-009,Serie E009
10,1,2,2,Exobot-010,Serie E010
11,1,1,1,Exobot-011,Serie E011
12,1,2,2,Exobot-012,Serie E012
13,1,1,1,Exobot-013,Serie E013
14,1,2,2,Exobot-014,Serie E014
15,1,1,1,Exobot-015,Serie E015
16,1,2,2,Exobot-016,Serie E016
17,1,1,1,Exobot-017,Serie E017
18,1,2,2,Exobot-018,Serie E018
19,1,1,1,Exobot-019,Serie E019
20,1,2,2,Exobot-020,Serie E020
21,1,1,1,Exobot-021,Serie E021
22,1,2,2,Exobot-022,Serie E022
23,1,1,1,Exobot-023,Serie E023
24,1,2,2,Exobot-024,Serie E024
25,1,1,1,Exobot-025,Serie E025
26,1,2,2,Exobot-026,Serie E026
27,1,1,1,Exobot-027,Serie E027
28,1,2,2,Exobot-028,Serie E028
29,1,1,1,Exobot-029,Serie E029
30,1,2,2,Exobot-030,Serie E030
31,1,1,1,Exobot-031,Serie E031
32,1,2,2,Exobot-032,Serie E032
33,1,1,1,Exobot-033,Serie E033
34,1,2,2,Exobot-034,Serie E034
35,1,1,1,Exobot-035,Serie E035
36,1,2,2,Exobot-036,Serie E036
37,1,1,1,Exobot-037,Serie E037
38,1,2,2,Exobot-038,Serie E038
39,1,1,1,Exobot-039,Serie E039
40,1,2,2,Exobot-040,Serie E040
41,1,1,1,Exobot-041,Serie E041
42,1,2,2,Exobot-042,Serie E042
43,1,1,1,Exobot-043,Serie E043
44,1,2,2,Exobot-044,Serie E044
45,1,1,1,Exobot-045,Serie E045
46,1,2,2,Exobot-046,Serie E046
47,1,1,1,Exobot-047,Serie E047
48,1,2,2,Exobot-048,Serie E048
49,1,1,1,Exobot-049,Serie E049
50,1,2,2,Exobot-050,Serie E050
51,1,1,1,Exobot-051,Serie E051
52,1,2,2,Exobot-052,Serie E052
53,1,2,1,Exobot-053,Serie E053
54,1,1,2,Exobot-054,Serie E054
55,1,2,1,Exobot-055,Serie E055
56,1,1,2,Exobot-056,Serie E056
57,1,2,1,Exobot-057,Serie E057
58,1,1,2,Exobot-058,Serie E058
59,1,2,1,Exobot-059,Serie E059
60,1,1,2,Exobot-060,Serie E060
61,1,2,1,Exobot-061,Serie E061
62,1,1,2,Exobot-062,Serie E062
63,1,2,1,Exobot-063,Serie E063
64,1,1,2,Exobot-064,Serie E064
65,1,2,1,Exobot-065,Serie E065
66,1,1,2,Exobot-066,Serie E066
67,1,2,1,Exobot-067,Serie E067
68,1,1,2,Exobot-068,Serie E068
69,1,2,1,Exobot-069,Serie E069
70,1,1,2,Exobot-070,Serie E070
71,1,2,1,Exobot-071,Serie E071
72,1,1,2,Exobot-072,Serie E072
73,1,2,1,Exobot-073,Serie E073
74,1,1,2,Exobot-074,Serie E074
75,1,2,1,Exobot-075,Serie E075
76,1,1,2,Exobot-076,Serie E076
77,1,2,1,Exobot-077,Serie E077
78,1,1,2,Exobot-078,Serie E078
79,1,2,1,Exobot-079,Serie E079
80,1,1,2,Exobot-080,Serie E080
81,1,2,1,Exobot-081,Serie E081
82,1,1,2,Exobot-082,Serie E082
83,1,2,1,Exobot-083,Serie E083
84,1,1,2,Exobot-084,Serie E084
85,1,2,1,Exobot-085,Serie E085
86,1,1,2,Exobot-086,Serie E086
87,1,2,1,Exobot-087,Serie E087
88,1,1,2,Exobot-088,Serie E088
89,1,2,1,Exobot-089,Serie E089
90,1,1,2,Exobot-090,Serie E090
91,1,2,1,Exobot-091,Serie E091
92,1,1,2,Exobot-092,Serie E092
93,1,2,1,Exobot-093,Serie E093
94,1,1,2,Exobot-094,Serie E094
95,1,2,1,Exobot-095,Serie E095
96,1,1,2,Exobot-096,Serie E096
97,1,2,1,Exobot-097,Serie E097
98,1,1,2,Exobot-098,Serie E098
99,1,2,1,Exobot-099,Serie E099
100,1,1,2,Exobot-100,Serie E100
101,1,1,2,Exobot-101,Serie E101
102,1,2,1,Exobot-102,Serie E102
103,1,1,2,Exobot-103,Serie E103
104,1,2,1,Exobot-104,Serie E104
105,1,1,2,Exobot-105,Serie E105
106,1,2,1,Exobot-106,Serie E106
107,1,1,2,Exobot-107,Serie E107
108,1,2,1,Exobot-108,Serie E108
109,1,1,2,Exobot-109,Serie E109
110,1,2,1,Exobot-110,Serie E110
111,1,1,2,Exobot-111,Serie E111
112,1,2,1,Exobot-112,Serie E112
113,1,1,2,Exobot-113,Serie E113
114,1,2,1,Exobot-114,Serie E114
115,1,1,2,Exobot-115,Serie E115
116,1,2,1,Exobot-116,Serie E116
117,1,1,2,Exobot-117,Serie E117
118,1,2,1,Exobot-118,Serie E118
119,1,1,2,Exobot-119,Serie E119
120,1,2,1,Exobot-120,Serie E120
121,1,1,2,Exobot-121,Serie E121
122,1,2,1,Exobot-122,Serie E122
123,1,1,2,Exobot-123,Serie E123
124,1,2,1,Exobot-124,Serie E124
125,1,1,2,Exobot-125,Serie E125
126,1,2,1,Exobot-126,Serie E126
127,1,1,2,Exobot-127,Serie E127
128,1,2,1,Exobot-128,Serie E128
129,1,1,2,Exobot-129,Serie E129
130,1,2,1,Exobot-130,Serie E130
131,1,1,2,Exobot-131,Serie E131
132,1,2,1,Exobot-132,Serie E132
133,1,1,2,Exobot-133,Serie E133
134,1,2,1,Exobot-134,Serie E134
135,1,1,2,Exobot-135,Serie E135
136,1,2,1,Exobot-136,Serie E136
137,1,1,2,Exobot-137,Serie E137
138,1,2,1,Exobot-138,Serie E138
139,1,1,2,Exobot-139,Serie E139
140,1,2,1,Exobot-140,Serie E140
141,1,1,2,Exobot-141,Serie E141
142,1,2,1,Exobot-142,Serie E142
143,1,1,2,Exobot-143,Serie E143
144,1,2,1,Exobot-144,Serie E144
145,1,1,2,Exobot-145,Serie E145
146,1,2,1,Exobot-146,Serie E146
147,1,1,2,Exobot-147,Serie E147
148,1,2,1,Exobot-148,Serie E148
